candidate_id,name,email,phone,submitted_at,salary_full_time,salary_part_time,has_salary_info,salary_ratio_pt_ft,available_full_time,available_part_time,availability_flexibility,both_available,total_experiences,unique_companies,has_big_tech,has_senior_role,has_lead_role,most_common_role_type,experience_diversity_score,company_prestige_score,avg_prestige_per_role,highest_education_level,total_degrees,has_cs_degree,has_top_school,has_high_gpa,total_skills,frontend_skills,backend_skills,mobile_skills,data_skills,cloud_skills,database_skills,devops_skills,language_skills,is_full_stack,high_demand_skills,skills_diversity_score,primary_skill_category,country,city,continent,timezone_group,is_major_tech_hub,experience_score,skills_score,education_score,market_value_score,completeness_score,detailed_experience_score,detailed_skills_score,detailed_education_score,detailed_skill_categories,detailed_is_full_stack,detailed_high_demand_count,detailed_has_tech_degree,detailed_top50_schools,detailed_top25_schools,overall_score,enhanced_overall_score,experience_level,enhanced_experience_level,original_skills,original_work_experiences,score_percentile,enhanced_score_percentile,salary_percentile,experience_percentile,value_tier,enhanced_value_tier,experience_tier,budget_category,value_for_money,enhanced_value_for_money
14,Thoughtful Fox,thoughtful-fox@example.com,15513348676,2025-01-27 00:51:38.000000,85285,0,True,0.0,True,True,2,True,5,5,False,False,False,Engineering,1.0,9,1.8,Master's Degree,2,True,False,True,8,3,0,0,1,0,1,0,1,False,3,0.5,frontend,United States,United States,North America,Americas,False,25,22,15,10,12,20,22.0,25,"['frontend', 'data', 'database', 'languages']",False,3.0,True,0.0,0.0,82.0,89.0,Senior,Junior,"SQL, Machine Learning, Java, REST APIs, Angular, HTML/CSS, Jest, Vue JS",Jabil: Software Developer Intern; New Jersey Institute Of Technology: Tutor; Vistaar Private Ltd.: Software Engineer; Cisco: Software Development Engineer 1 (SDE 1); DreamWeaver Private Ltd.: Software Engineer,76.61538461538461,78.15384615384615,37.743589743589745,90.82051282051282,High,Medium,Mid,Standard,0.9614820894647359,1.0435598288092867
15,Strong Zebra,strong-zebra@example.com,5521969078082,2025-01-27 20:02:43.000000,138963,0,True,0.0,True,True,2,True,8,8,False,False,False,Engineering,1.0,8,1.0,Bachelor's Degree,2,True,False,False,3,0,0,1,0,0,1,0,0,False,1,0.25,mobile,Rio de Janeiro,Rio de Janeiro,Other,Other,False,25,8,10,15,12,20,8.5,20,"['mobile', 'database']",False,1.0,True,0.0,0.0,68.0,75.5,Senior,Junior,"GoLang, Kotlin, SQL",Gympass: Software Development Engineer 1 (SDE 1); Bemobi: Software Developer; M4U - Uma empresa Bemobi: Software Developer; Quantum: QA Engineer; Itaú Soluções Previdenciárias: Data Analyst; Ebix: QA Engineer; Dtech Consultoria em Tecnologia: Consultant; Petrobras: Technical Consultant,51.28205128205128,58.25641025641025,93.84615384615384,88.2051282051282,Medium,Low,Senior,Premium,0.48933888876895293,0.5433100897361168
16,Unique,unique-lion@example.com,96279416708,2025-01-26 15:27:35.000000,112553,0,True,0.0,True,True,2,True,2,2,False,False,False,Engineering,1.0,2,1.0,Bachelor's Degree,2,True,False,True,6,0,0,0,0,1,2,0,0,False,1,0.25,database,Amman,Amman,Other,Other,False,16,14,10,15,12,8,11.5,20,"['database', 'cloud']",False,1.0,True,0.0,0.0,65.0,66.5,Mid-Level,Entry-Level,"Azure, SQL, Microservices, Kafka, MongoDB, GraphQL",Arab Bank: Software Developer; B12 Digital Services: Backend Engineer,44.61538461538462,39.33333333333333,66.15384615384615,21.897435897435898,Medium,Low,Junior,Premium,0.5775057084218101,0.5908327632315442
17,Energetic Iguana,energetic-iguana@example.com,573203500458,2025-01-26 11:10:21.000000,66708,0,True,0.0,True,True,2,True,9,9,False,False,False,Other,1.0,9,1.0,Bachelor's Degree,2,False,False,False,12,2,0,1,0,2,2,0,1,False,4,0.625,frontend,Bogotá,Bogotá,Other,Other,False,25,28,10,20,12,20,30.25,15,"['frontend', 'mobile', 'database', 'cloud', 'languages']",False,4.0,False,0.0,0.0,93.0,97.25,Senior,Junior,"Amazon Web Services, Azure, Java, React, React Native, SQL, Agile, Angular, Tableau, PostgreSQL, Hadoop, IoT",Chibios: Consultant; Bext SA: Consultant; MandA: Software Developer; Bogotá Collection: Software Developer; Experis: Java Developer; Everis: Consultant; Essecorp: Consultant; SOAINT: Consultant; Woombat CG: Software Developer,92.66666666666666,86.82051282051282,21.435897435897434,90.82051282051282,Excellent,Medium,Senior,Standard,1.3941356359057384,1.4578461353960546
18,Loyal Kangaroo,loyal-kangaroo@example.com,16462672068,2025-01-26 09:48:37.000000,136192,0,True,0.0,True,True,2,True,2,2,False,False,False,Analytics,1.0,6,3.0,Master's Degree,2,False,True,True,7,0,1,0,2,1,0,0,1,False,3,0.5,data,United States,United States,North America,Americas,False,16,20,15,5,12,8,21.0,30,"['backend', 'data', 'cloud', 'languages']",False,3.0,False,1.0,1.0,66.0,76.0,Mid-Level,Entry-Level,"Machine Learning, Amazon Web Services, Django, ETL, Python, Pandas, Seaborn",Construct AI: Data Scientist; Columbia University Irving Medical Center: Researcher,46.205128205128204,59.23076923076923,90.46153846153845,76.61538461538461,Medium,Low,Junior,Premium,0.484609962406015,0.5580357142857143
19,Incredible Viper,incredible-viper@example.com,5547999112973,2025-01-28 00:48:27.000000,135825,0,True,0.0,True,True,2,True,3,3,False,False,False,Engineering,1.0,3,1.0,Bachelor's Degree,2,False,False,False,14,5,1,0,0,0,2,0,3,True,4,0.5,frontend,Brazil,Brazil,South America,Americas,False,24,28,10,15,12,12,31.0,15,"['frontend', 'backend', 'database', 'languages']",True,4.0,False,0.0,0.0,87.0,85.0,Senior,Junior,"Bootstrap, JavaScript, SQL, Arduino, C#, Project Management, Excel, PHP, HTML/CSS, React, Java, PostgreSQL, Next JS, C",ASAAS: Full Stack Developer; TOTVS: Software Developer; Fabio Perini: Systems Engineer,84.2051282051282,73.58974358974359,89.84615384615384,40.35897435897436,Excellent,Medium,Mid,Premium,0.6405300938707896,0.6258052641266336
20,Magical Xerus,magical-xerus@example.com,573113073672,2025-01-26 06:37:14.000000,131176,0,True,0.0,True,True,2,True,7,7,False,True,True,Other,1.0,7,1.0,Master's Degree,6,False,False,True,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Colombia,Colombia,Other,Other,False,25,0,15,15,10,25,0.0,20,,,,False,0.0,0.0,63.333333333333336,70.0,Senior,Mid-Level,,CrediAntioquia: Chief Technology Officer (CTO); Instituto para el Desarrollo de Antioquia - IDEA: Director; Pedroza Consultores SAS: Financial Analyst; Pórticos S.A.: Director; Generación e Interconexión Eléctrica del Pacífico SAS: Chief Technology Officer (CTO); Grupo Digitex: Financial Analyst; Allus Global BPO Center: Financial Analyst,40.61538461538461,46.76923076923077,86.35897435897436,83.48717948717949,Medium,Low,Senior,Premium,0.48281189648512945,0.533634201378301
21,Trustworthy Cat,trustworthy-cat@example.com,573026954153,2025-01-26 06:37:21.000000,90716,0,True,0.0,True,True,2,True,4,4,False,False,False,Other,1.0,4,1.0,Master's Degree,3,False,True,True,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Medellín,Medellín,Other,Other,False,25,0,15,20,10,16,0.0,25,,,,False,1.0,0.0,68.33333333333333,71.0,Senior,Junior,,HolaFly: Marketing Specialist; Freelance: Web Developer; Ardor Learning: English Specialist; Torkut3D: Writer,53.84615384615385,49.17948717948718,42.97435897435897,57.128205128205124,Medium,Low,Mid,Standard,0.7532666049355498,0.7826623748842542
22,Noble Walrus,noble-walrus@example.com,402746948483,2025-01-26 19:11:12.000000,113653,0,True,0.0,True,True,2,True,8,8,False,False,False,Engineering,1.0,8,1.0,Master's Degree,3,False,False,True,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Timișoara,Timișoara,Other,Other,False,25,0,15,15,10,20,0.0,20,,,,False,0.0,0.0,63.333333333333336,65.0,Senior,Junior,,S.C. AROBS Transilvania Software: Software Developer; SII IT & C Services: Software Developer; S.C. AKKA Romserv: Software Developer; AKKA I&S: Software Developer; S.C. ISB ROM: Software Developer; S.C. Continental Automotive Romania: Software Developer; S.C. AEM: Software Developer; S.C. RIF DC: Software Developer,40.61538461538461,35.58974358974359,67.58974358974359,88.2051282051282,Medium,Low,Senior,Premium,0.5572517516768878,0.5719162714578585
23,Talented Lemur,talented-lemur@example.com,5491127263061,2025-01-27 02:04:29.000000,68662,0,True,0.0,True,True,2,True,1,1,False,False,False,Other,1.0,1,1.0,Bachelor's Degree,2,True,True,False,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Caba,Caba,Other,Other,False,8,0,10,20,10,4,0.0,25,,,,True,1.0,0.0,46.333333333333336,59.0,Junior,Entry-Level,,Algar Tech: IT Support Specialist,8.564102564102564,25.333333333333336,23.17948717948718,8.76923076923077,Low,Low,Junior,Standard,0.6748031419611041,0.8592816987562261
24,Incredible Dog,incredible-dog@example.com,00393515128989,2025-01-26 11:41:37.000000,132922,0,True,0.0,True,True,2,True,2,2,False,False,True,Management,1.0,2,1.0,Master's Degree,4,True,True,True,2,0,0,0,0,0,0,0,0,False,0,0.0,None,Italy,Italy,Other,Other,False,16,4,15,15,12,8,2.0,30,[],False,0.0,True,2.0,0.0,60.0,67.0,Mid-Level,Entry-Level,"MATLAB, C",Andes Aerospace: Product Manager; PUNCH Torino: Software Engineer,30.71794871794872,40.1025641025641,87.58974358974359,21.897435897435898,Medium,Low,Junior,Premium,0.45139254600442363,0.5040550097049398
25,,unique-walrus@example.com,5493764993477,2025-01-28 04:41:01.000000,52070,0,True,0.0,True,True,2,True,2,2,False,False,False,Engineering,1.0,2,1.0,Bachelor's Degree,2,True,False,False,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Posadas,Posadas,Other,Other,False,16,0,10,20,8,8,0.0,20,,,,True,0.0,0.0,52.666666666666664,56.0,Mid-Level,Entry-Level,,Sirius Software: Full Stack Developer; Polotic Misiones: Backend Engineer,16.256410256410255,19.384615384615383,7.282051282051281,21.897435897435898,Medium,Low,Junior,Budget,1.0114589334869726,1.0754753216823507
26,Hopeful Bear,hopeful-bear@example.com,447495598964,2025-01-26 18:28:26.000000,110659,0,True,0.0,True,True,2,True,4,4,False,False,False,Engineering,1.0,4,1.0,Bachelor's Degree,1,True,False,False,17,2,0,0,0,2,2,1,4,False,5,0.625,languages,London,London,Other,Other,True,25,30,10,15,12,16,36.25,20,"['frontend', 'database', 'cloud', 'devops', 'languages']",False,5.0,True,0.0,0.0,90.0,99.25,Senior,Junior,"SQL, JavaScript, Terraform, Power BI, Amazon Web Services, Spark, MongoDB, C#, Azure, Snowflake, Java, Scala, Databricks, Python, NET, Kafka, Angular",Matches Fashion: Data Engineer; NorthBay Solutions: Data Engineer; Nanosoft Technologies: Software Developer; iSplendid: Software Developer Intern,88.71794871794872,88.82051282051282,63.794871794871796,57.128205128205124,Excellent,Medium,Mid,Premium,0.8133093557686225,0.8968994840003975
27,Magical Dolphin,magical-dolphin@example.com,5492616575574,2025-01-26 12:40:40.000000,113598,0,True,0.0,True,True,2,True,2,2,False,False,True,Analytics,1.0,2,1.0,Bachelor's Degree,3,True,False,False,4,0,0,0,2,1,0,0,1,False,2,0.375,data,Mendoza,Mendoza,Other,Other,False,16,12,10,15,12,8,13.75,20,"['data', 'cloud', 'languages']",False,2.0,True,0.0,0.0,63.0,68.75,Mid-Level,Entry-Level,"Data Analysis, Google Cloud Platform, Python, Machine Learning",Tuten: Data Scientist; Le Wagon: Technical Project Manager,38.35897435897436,43.53846153846154,67.38461538461539,21.897435897435898,Medium,Low,Junior,Premium,0.5545872286483917,0.6052043169774116
28,Strong Penguin,strong-penguin@example.com,8801834766949,2025-01-28 11:59:19.000000,108626,0,True,0.0,True,True,2,True,3,3,False,False,False,Engineering,1.0,3,1.0,Bachelor's Degree,3,False,False,True,19,6,2,1,0,1,4,1,2,True,6,0.875,frontend,Mirzapur,Mirzapur,Other,Other,False,24,30,10,15,12,12,38.75,15,"['frontend', 'backend', 'mobile', 'database', 'cloud', 'devops', 'languages']",True,6.0,False,0.0,0.0,89.0,92.75,Senior,Junior,"REST APIs, Redis, React, Java, PostgreSQL, Agile, SQL, JavaScript, MongoDB, React Native, Express, Next JS, TailwindCSS, Redux, Docker, HTML/CSS, Angular, Bootstrap, Node JS",Selise: Software Engineer; Royex Technologies: Software Engineer; PayStation: Software Engineer,86.61538461538461,82.3076923076923,62.153846153846146,40.35897435897436,Excellent,Medium,Mid,Premium,0.8193250234750428,0.8538471452506766
29,Daring Alligator,daring-alligator@example.com,,2025-01-26 06:12:02.000000,111473,0,True,0.0,True,True,2,True,2,2,False,False,False,Engineering,1.0,2,1.0,,3,True,False,False,7,3,0,1,0,0,0,0,2,False,3,0.375,frontend,Pelotas,Pelotas,Other,Other,False,16,20,0,15,11,8,19.75,5,"['frontend', 'mobile', 'languages']",False,3.0,True,0.0,0.0,60.16666666666667,58.75,Mid-Level,Entry-Level,"GraphQL, Java, JavaScript, Next JS, React, React Native, REST APIs",ScrumLaunch: Frontend Engineer; ClickCard: Frontend Engineer,31.28205128205128,24.871794871794872,65.02564102564102,21.897435897435898,Medium,Low,Junior,Premium,0.5397420601102211,0.527033452046684
30,Friendly Goat,friendly-goat@example.com,5574999409122,2025-01-26 08:57:29.000000,103197,0,True,0.0,True,True,2,True,3,3,False,True,False,Engineering,1.0,3,1.0,Bachelor's Degree,1,True,False,False,4,0,0,0,0,1,0,1,1,False,1,0.375,cloud,Salvador,Salvador,Other,Other,False,24,10,10,15,12,17,10.75,20,"['cloud', 'devops', 'languages']",False,1.0,True,0.0,0.0,69.0,74.75,Senior,Junior,"Terraform, NET, Amazon Web Services, C++",RDI Software: Senior Software Engineer; Libercapital: Software Engineer; Banco Modal: Software Developer,55.794871794871796,55.48717948717948,55.794871794871796,40.35897435897436,Medium,Low,Mid,Premium,0.6686240879095322,0.7243427619019932
31,,vibrant-tiger@example.com,54341435118,2025-01-28 05:09:34.000000,125412,0,True,0.0,True,True,2,True,0,0,False,False,False,None,0.0,0,0.0,High School Diploma,1,False,False,False,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Rosario,Rosario,Other,Other,False,0,0,2,15,6,0,0.0,5,,,,False,0.0,0.0,22.0,26.0,Entry-Level,Entry-Level,,,0.6153846153846154,0.6153846153846154,80.51282051282051,2.5128205128205128,Low,Low,Entry,Premium,0.17542180971517876,0.20731668420884763
32,Mischievous Narwhal,mischievous-narwhal@example.com,5491154031480,2025-01-28 00:00:20.000000,142918,0,True,0.0,True,True,2,True,3,3,False,False,False,Engineering,1.0,3,1.0,Bachelor's Degree,3,False,False,False,2,2,0,0,0,0,0,0,1,False,1,0.25,frontend,Villa Pueyrredon,Villa Pueyrredon,Other,Other,False,24,6,10,15,12,12,7.5,15,"['frontend', 'languages']",False,1.0,False,0.0,0.0,65.0,61.5,Senior,Junior,"HTML/CSS, TypeScript",IT Rock: Frontend Engineer; Belog IT: Frontend Engineer; Jorge Newbery Airport: Frontend Engineer,44.61538461538462,29.333333333333332,98.76923076923076,40.35897435897436,Medium,Low,Mid,Executive,0.4548062525364195,0.4303166850921507
33,Sassy Flamingo,sassy-flamingo@example.com,55419993659303,2025-01-26 13:55:50.000000,133378,0,True,0.0,True,True,2,True,2,2,False,False,False,Engineering,1.0,2,1.0,Bachelor's Degree,2,True,False,False,3,1,0,0,0,0,1,0,0,False,1,0.25,frontend,Brasil,Brasil,Other,Other,False,16,8,10,15,12,8,8.5,20,"['frontend', 'database']",False,1.0,True,0.0,0.0,59.0,63.5,Mid-Level,Entry-Level,"Angular, NET, SQL",Belenus: Full Stack Developer; EPTV: Full Stack Developer,29.435897435897434,32.97435897435898,88.41025641025641,21.897435897435898,Medium,Low,Junior,Premium,0.4423518121429322,0.4760905096792575
34,Smart Koala,smart-koala@example.com,55996366874,2025-01-28 12:11:13.000000,99474,0,True,0.0,True,True,2,True,1,1,True,False,False,Other,1.0,10,10.0,Bachelor's Degree,2,True,False,False,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Brazil,Brazil,South America,Americas,False,8,0,10,20,10,14,0.0,20,,,,True,0.0,0.0,46.333333333333336,64.0,Junior,Junior,,Metalúrgica Venâncio: IT Support Specialist,8.564102564102564,33.53846153846154,51.8974358974359,92.51282051282051,Low,Low,Junior,Standard,0.46578335377418556,0.6433842008967167
